ID,GENERIC NAME
DB00467,Enoxacin
DB00468,Quinine
DB00469,Tenoxicam
DB00470,Dronabinol
DB00471,Montelukast
DB00472,Fluoxetine
DB00473,Hexylcaine
DB00474,Methohexital
DB00475,Chlordiazepoxide
DB00476,Duloxetine
DB00477,Chlorpromazine
DB00478,Rimantadine
DB00479,Amikacin
DB00480,Lenalidomide
DB00481,Raloxifene
DB00482,Celecoxib
DB00483,Gallamine Triethiodide
DB00484,Brimonidine
DB00485,Dicloxacillin
DB00486,Nabilone
DB00487,Pefloxacin
DB00488,Altretamine
DB00489,Sotalol
DB00490,Buspirone
DB00491,Miglitol
DB00492,Fosinopril
DB00493,Cefotaxime
DB00494,Entacapone
DB00495,Zidovudine
DB00496,Darifenacin
DB00497,Oxycodone
DB00498,Phenindione
DB00499,Flutamide
DB00500,Tolmetin
DB00501,Cimetidine
DB00502,Haloperidol
DB00503,Ritonavir
DB00504,Levallorphan
DB00507,Nitazoxanide
DB00508,Triflupromazine
DB00509,Dextrothyroxine
DB00511,Acetyldigitoxin
DB00512,Vancomycin
DB00513,Aminocaproic Acid
DB00514,Dextromethorphan
DB00517,Anisotropine Methylbromide
DB00518,Albendazole
DB00519,Trandolapril
DB00520,Caspofungin
DB00521,Carteolol
DB00523,Alitretinoin
DB00524,Metolazone
DB00525,Tolnaftate
DB00527,Cinchocaine
DB00528,Lercanidipine
DB00529,Foscarnet
DB00530,Erlotinib
DB00531,Cyclophosphamide
DB00534,Chlormerodrin
DB00535,Cefdinir
DB00536,Guanidine
DB00537,Ciprofloxacin
DB00538,Gadoversetamide
DB00539,Toremifene
DB00540,Nortriptyline
DB00541,Vincristine
DB00542,Benazepril
DB00543,Amoxapine
DB00544,Fluorouracil
DB00545,Pyridostigmine
DB00546,Adinazolam
DB00547,Desoximetasone
DB00548,Azelaic Acid
DB00549,Zafirlukast
DB00550,Propylthiouracil
DB00551,Acetohydroxamic Acid
DB00552,Pentostatin
DB00553,Methoxsalen
DB00554,Piroxicam
DB00555,Lamotrigine
DB00556,Perflutren
DB00557,Hydroxyzine
DB00558,Zanamivir
DB00559,Bosentan
DB00560,Tigecycline
DB00561,Doxapram
DB00562,Benzthiazide
DB00563,Methotrexate
DB00564,Carbamazepine
DB00565,Cisatracurium besylate
DB00566,Succimer
DB00567,Cephalexin
DB00568,Cinnarizine
DB00569,Fondaparinux sodium
DB00570,Vinblastine
DB00571,Propranolol
DB00572,Atropine
DB00573,Fenoprofen
DB00575,Clonidine
DB00576,Sulfamethizole
DB00577,Valaciclovir
DB00578,Carbenicillin
DB00579,Mazindol
DB00581,Lactulose
DB00582,Voriconazole
DB00583,L-Carnitine
DB00584,Enalapril
DB00585,Nizatidine
DB00586,Diclofenac
DB00587,Cinalukast
DB00588,Fluticasone propionate
DB00589,Lisuride
DB00590,Doxazosin
DB00591,Fluocinolone Acetonide
DB00592,Piperazine
DB00593,Ethosuximide
DB00594,Amiloride
DB00595,Oxytetracycline
DB00596,Ulobetasol
DB00597,Gadoteridol
DB00598,Labetalol
DB00599,Thiopental
DB00600,Monobenzone
DB00601,Linezolid
DB00602,Ivermectin
DB00603,Medroxyprogesterone acetate
DB00604,Cisapride
DB00605,Sulindac
DB00606,Cyclothiazide
DB00607,Nafcillin
DB00608,Chloroquine
DB00609,Ethionamide
DB00610,Metaraminol
DB00611,Butorphanol
DB00612,Bisoprolol
DB00613,Amodiaquine
DB00614,Furazolidone
DB00615,Rifabutin
DB00617,Paramethadione
DB00618,Demeclocycline
DB00619,Imatinib
DB00620,Triamcinolone
DB00621,Oxandrolone
DB00622,Nicardipine
DB00623,Fluphenazine
DB00624,Testosterone
DB00625,Efavirenz
DB00627,Niacin
DB00628,Clorazepate
DB00629,Guanabenz
DB00630,Alendronic acid
DB00631,Clofarabine
DB00632,Docosanol
DB00633,Dexmedetomidine
DB00634,Sulfacetamide
DB00635,Prednisone
DB00636,Clofibrate
DB00637,Astemizole
DB00639,Butoconazole
DB00640,Adenosine
DB00641,Simvastatin
DB00642,Pemetrexed
DB00643,Mebendazole
DB00644,Gonadorelin
DB00645,Dyclonine
DB00646,Nystatin
DB00647,Dextropropoxyphene
DB00648,Mitotane
DB00649,Stavudine
DB00650,Leucovorin
DB00651,Dyphylline
DB00652,Pentazocine
DB00654,Latanoprost
DB00655,Estrone
DB00656,Trazodone
DB00657,Mecamylamine
DB00658,Sevelamer
DB00659,Acamprosate
DB00660,Metaxalone
DB00661,Verapamil
DB00662,Trimethobenzamide
DB00663,Flumethasone
DB00664,Sulfametopyrazine
DB00665,Nilutamide
DB00666,Nafarelin
DB00668,Epinephrine
DB00669,Sumatriptan
DB00670,Pirenzepine
DB00671,Cefixime
DB00672,Chlorpropamide
DB00673,Aprepitant
DB00674,Galantamine
DB00675,Tamoxifen
DB00676,Benzyl Benzoate
DB00677,Isoflurophate
DB00678,Losartan
DB00680,Moricizine
DB00681,Amphotericin B
DB00682,Warfarin
DB00683,Midazolam
DB00684,Tobramycin
DB00685,Trovafloxacin
DB00686,Pentosan Polysulfate
DB00687,Fludrocortisone
DB00688,Mycophenolate mofetil
DB00689,Cephaloglycin
DB00690,Flurazepam
DB00691,Moexipril
DB00692,Phentolamine
DB00693,Fluorescein
DB00694,Daunorubicin
DB00695,Furosemide
DB00696,Ergotamine
DB00697,Tizanidine
DB00698,Nitrofurantoin
DB00699,Nicergoline
DB00700,Eplerenone
DB00701,Amprenavir
DB00703,Methazolamide
DB00704,Naltrexone
DB00705,Delavirdine
DB00706,Tamsulosin
DB00708,Sufentanil
DB00709,Lamivudine
DB00710,Ibandronate
DB00711,Diethylcarbamazine
DB00712,Flurbiprofen
DB00713,Oxacillin
DB00714,Apomorphine
DB00715,Paroxetine
DB00716,Nedocromil
DB00717,Norethisterone
DB00718,Adefovir Dipivoxil
DB00719,Azatadine
DB00720,Clodronic Acid
DB00721,Procaine
DB00722,Lisinopril
DB00723,Methoxamine
DB00724,Imiquimod
DB00725,Homatropine Methylbromide
DB00726,Trimipramine
DB00727,Nitroglycerin
DB00728,Rocuronium
DB00729,Diphemanil Methylsulfate
DB00730,Thiabendazole
DB00731,Nateglinide
DB00732,Atracurium besylate
DB00733,Pralidoxime
DB00734,Risperidone
DB00735,Naftifine
DB00736,Esomeprazole
DB00737,Meclizine
DB00738,Pentamidine
DB00739,Hetacillin
DB00740,Riluzole
DB00741,Hydrocortisone
DB00742,Mannitol
DB00743,Gadobenic acid
DB00744,Zileuton
DB00745,Modafinil
DB00746,Deferoxamine
DB00747,Scopolamine
DB00748,Carbinoxamine
DB00749,Etodolac
DB00750,Prilocaine
DB00751,Epinastine
DB00752,Tranylcypromine
DB00753,Isoflurane
DB00754,Ethotoin
DB00755,Tretinoin
DB00756,Hexachlorophene
DB00757,Dolasetron
DB00758,Clopidogrel
DB00759,Tetracycline
DB00760,Meropenem
DB00762,Irinotecan
DB00763,Methimazole
DB00764,Mometasone
DB00765,Metyrosine
DB00766,Clavulanate
DB00768,Olopatadine
DB00769,Hydrocortamate
DB00770,Alprostadil
DB00771,Clidinium
DB00772,Malathion
DB00773,Etoposide
DB00774,Hydroflumethiazide
DB00775,Tirofiban
DB00776,Oxcarbazepine
DB00777,Propiomazine
DB00778,Roxithromycin
DB00779,Nalidixic Acid
DB00780,Phenelzine
DB00781,Polymyxin B Sulfate
DB00782,Propantheline
DB00783,Estradiol
DB00784,Mefenamic acid
DB00786,Marimastat
DB00787,Aciclovir
DB00788,Naproxen
DB00789,Gadopentetate dimeglumine
DB00790,Perindopril
DB00791,Uracil mustard
DB00792,Tripelennamine
DB00793,Haloprogin
DB00794,Primidone
DB00795,Sulfasalazine
DB00796,Candesartan
DB00797,Tolazoline
DB00798,Gentamicin
DB00799,Tazarotene
DB00800,Fenoldopam
DB00801,Halazepam
DB00802,Alfentanil
DB00803,Colistin
DB00804,Dicyclomine
DB00805,Minaprine
DB00806,Pentoxifylline
DB00807,Proparacaine
DB00808,Indapamide
DB00809,Tropicamide
DB00810,Biperiden
DB00811,Ribavirin
DB00812,Phenylbutazone
DB00813,Fentanyl
DB00814,Meloxicam
DB00815,Sodium lauryl sulfate
DB00816,Orciprenaline
DB00817,Rosoxacin
DB00818,Propofol
DB00819,Acetazolamide
DB00820,Tadalafil
DB00821,Carprofen
DB00822,Disulfiram
DB00823,Ethynodiol diacetate
DB00824,Enprofylline
DB00825,Menthol
DB00826,Natamycin
DB00827,Cinoxacin
DB00828,Fosfomycin
DB00829,Diazepam
DB00830,Phenmetrazine
DB00831,Trifluoperazine
DB00832,Phensuximide
DB00833,Cefaclor
DB00834,Mifepristone
DB00835,Brompheniramine
DB00836,Loperamide
DB00837,Progabide
DB00838,Clocortolone
DB00839,Tolazamide
DB00841,Dobutamine
DB00842,Oxazepam
DB00843,Donepezil
DB00844,Nalbuphine
DB00845,Clofazimine
DB00846,Flurandrenolide
DB00847,Cysteamine
DB00849,Methylphenobarbital
DB00850,Perphenazine
DB00851,Dacarbazine
DB00852,Pseudoephedrine
DB00853,Temozolomide
DB00854,Levorphanol
DB00855,Aminolevulinic acid
DB00856,Chlorphenesin
DB00857,Terbinafine
DB00858,Drostanolone
DB00859,Penicillamine
DB00860,Prednisolone
DB00861,Diflunisal
DB00862,Vardenafil
DB00863,Ranitidine
DB00864,Tacrolimus
DB00865,Benzphetamine
DB00866,Alprenolol
DB00867,Ritodrine
DB00868,Benzonatate
DB00869,Dorzolamide
DB00870,Suprofen
DB00871,Terbutaline
DB00872,Conivaptan
DB00873,Loteprednol
DB00874,Guaifenesin
DB00875,Flupentixol
DB00876,Eprosartan
DB00877,Sirolimus
DB00878,Chlorhexidine
DB00879,Emtricitabine
DB00880,Chlorothiazide
DB00881,Quinapril
DB00882,Clomifene
DB00883,Isosorbide Dinitrate
DB00884,Risedronate
DB00885,Pemirolast
DB00887,Bumetanide
DB00888,Mechlorethamine
DB00889,Granisetron
DB00890,Dienestrol
DB00891,Sulfapyridine
DB00892,Oxybuprocaine
DB00894,Testolactone
DB00895,Benzylpenicilloyl Polylysine
DB00896,Rimexolone
DB00897,Triazolam
DB00899,Remifentanil
DB00900,Didanosine
DB00902,Methdilazine
DB00903,Etacrynic acid
DB00904,Ondansetron
DB00905,Bimatoprost
DB00906,Tiagabine
DB00907,Cocaine
DB00908,Quinidine
DB00909,Zonisamide
DB00910,Paricalcitol
DB00911,Tinidazole
DB00912,Repaglinide
DB00913,Anileridine
DB00914,Phenformin
DB00915,Amantadine
DB00916,Metronidazole
DB00917,Dinoprostone
DB00918,Almotriptan
DB00919,Spectinomycin
DB00920,Ketotifen
DB00921,Buprenorphine
DB00922,Levosimendan
DB00923,Ceforanide
DB00924,Cyclobenzaprine
DB00925,Phenoxybenzamine
DB00927,Famotidine
DB00928,Azacitidine
DB00929,Misoprostol
DB00931,Methacycline
DB00932,Tipranavir
DB00933,Mesoridazine
DB00934,Maprotiline
DB00935,Oxymetazoline
DB00936,Salicylic acid
DB00937,Diethylpropion
DB00938,Salmeterol
DB00939,Meclofenamic acid
DB00940,Methantheline
DB00941,Hexafluronium
DB00942,Cycrimine
DB00943,Zalcitabine
DB00944,Demecarium
DB00945,Acetylsalicylic acid
DB00946,Phenprocoumon
DB00947,Fulvestrant
DB00948,Mezlocillin
DB00949,Felbamate
DB00950,Fexofenadine
DB00951,Isoniazid
DB00952,Naratriptan
DB00953,Rizatriptan
DB00954,Dirithromycin
DB00955,Netilmicin
DB00956,Hydrocodone
DB00957,Norgestimate
DB00958,Carboplatin
DB00959,Methylprednisolone
DB00960,Pindolol
DB00961,Mepivacaine
DB00962,Zaleplon
DB00963,Bromfenac
DB00964,Apraclonidine
DB00966,Telmisartan
DB00967,Desloratadine
DB00968,Methyldopa
DB00969,Alosetron
DB00970,Dactinomycin
DB00972,Azelastine
DB00973,Ezetimibe
DB00974,Edetic Acid
DB00975,Dipyridamole
DB00976,Telithromycin
DB00977,Ethinyl Estradiol
DB00978,Lomefloxacin
DB00979,Cyclopentolate
DB00980,Ramelteon
DB00981,Physostigmine
DB00982,Isotretinoin
DB00983,Formoterol
DB00984,Nandrolone phenpropionate
DB00985,Dimenhydrinate
DB00986,Glycopyrronium
DB00987,Cytarabine
DB00988,Dopamine
DB00989,Rivastigmine
DB00990,Exemestane
DB00991,Oxaprozin
DB00992,Methyl aminolevulinate
DB00993,Azathioprine
DB00996,Gabapentin
DB00997,Doxorubicin
DB00998,Frovatriptan
DB00999,Hydrochlorothiazide
DB01000,Cyclacillin
DB01001,Salbutamol
DB01002,Levobupivacaine
DB01003,Cromoglicic acid
DB01004,Ganciclovir
DB01005,Hydroxyurea
DB01006,Letrozole
DB01007,Tioconazole
DB01008,Busulfan
DB01009,Ketoprofen
DB01010,Edrophonium
DB01011,Metyrapone
DB01012,Cinacalcet
DB01013,Clobetasol propionate
DB01014,Balsalazide
DB01015,Sulfamethoxazole
DB01016,Glyburide
DB01017,Minocycline
DB01018,Guanfacine
DB01019,Bethanechol
DB01020,Isosorbide Mononitrate
DB01021,Trichlormethiazide
DB01022,Phylloquinone
DB01023,Felodipine
DB01024,Mycophenolic acid
DB01025,Amlexanox
DB01026,Ketoconazole
DB01028,Methoxyflurane
DB01029,Irbesartan
DB01030,Topotecan
DB01031,Ethinamate
DB01032,Probenecid
DB01033,Mercaptopurine
DB01034,Cerulenin
DB01035,Procainamide
DB01036,Tolterodine
DB01037,Selegiline
DB01039,Fenofibrate
DB01040,Hydroxystilbamidine Isethionate
DB01041,Thalidomide
DB01042,Melphalan
DB01043,Memantine
DB01044,Gatifloxacin
DB01045,Rifampicin
DB01046,Lubiprostone
DB01047,Fluocinonide
DB01048,Abacavir
DB01049,Ergoloid mesylate
DB01050,Ibuprofen
DB01051,Novobiocin
DB01053,Benzylpenicillin
DB01054,Nitrendipine
DB01055,Mimosine
DB01056,Tocainide
DB01057,Echothiophate
DB01058,Praziquantel
DB01059,Norfloxacin
DB01060,Amoxicillin
DB01061,Azlocillin
DB01062,Oxybutynin
DB01063,Acetophenazine
DB01064,Isoprenaline
DB01065,Melatonin
DB01066,Cefditoren
DB01067,Glipizide
DB01068,Clonazepam
DB01069,Promethazine
DB01070,Dihydrotachysterol
DB01071,Mequitazine
DB01072,Atazanavir
DB01073,Fludarabine
DB01074,Perhexiline
DB01075,Diphenhydramine
DB01076,Atorvastatin
DB01077,Etidronic acid
DB01078,Deslanoside
DB01080,Vigabatrin
DB01081,Diphenoxylate
DB01082,Streptomycin
DB01083,Orlistat
DB01084,Emedastine
DB01085,Pilocarpine
DB01086,Benzocaine
DB01087,Primaquine
DB01088,Iloprost
DB01089,Deserpidine
DB01090,Pentolinium
DB01091,Butenafine
DB01092,Ouabain
DB01094,Hesperetin
DB01095,Fluvastatin
DB01096,Oxamniquine
DB01097,Leflunomide
DB01098,Rosuvastatin
DB01099,Flucytosine
DB01100,Pimozide
DB01101,Capecitabine
DB01102,Arbutamine
DB01103,Quinacrine
DB01104,Sertraline
DB01105,Sibutramine
DB01106,Levocabastine
DB01107,Methyprylon
DB01108,Trilostane
DB01110,Miconazole
DB01112,Cefuroxime
DB01113,Papaverine
DB01114,Chlorphenamine
DB01115,Nifedipine
DB01116,Trimethaphan
DB01117,Atovaquone
DB01118,Amiodarone
DB01119,Diazoxide
DB01120,Gliclazide
DB01121,Phenacemide
DB01122,Ambenonium
DB01123,Proflavine
DB01124,Tolbutamide
DB01125,Anisindione
DB01126,Dutasteride
DB01127,Econazole
DB01128,Bicalutamide
DB01129,Rabeprazole
DB01130,Prednicarbate
DB01131,Proguanil
DB01132,Pioglitazone
DB01133,Tiludronic acid
DB01135,Doxacurium chloride
DB01136,Carvedilol
DB01137,Levofloxacin
DB01138,Sulfinpyrazone
DB01139,Cefapirin
DB01140,Cefadroxil
DB01141,Micafungin
DB01142,Doxepin
DB01143,Amifostine
DB01144,Diclofenamide
DB01145,Sulfoxone
DB01146,Diphenylpyraline
DB01147,Cloxacillin
DB01148,Flavoxate
DB01149,Nefazodone
DB01150,Cefprozil
DB01151,Desipramine
DB01153,Sertaconazole
DB01154,Thiamylal
DB01155,Gemifloxacin
DB01156,Bupropion
DB01157,Trimetrexate
DB01158,Bretylium
DB01159,Halothane
DB01160,Dinoprost Tromethamine
DB01161,Chloroprocaine
DB01162,Terazosin
DB01165,Ofloxacin
DB01166,Cilostazol
DB01167,Itraconazole
DB01168,Procarbazine
DB01170,Guanethidine
DB01171,Moclobemide
DB01172,Kanamycin
DB01173,Orphenadrine
DB01174,Phenobarbital
DB01175,Escitalopram
DB01176,Cyclizine
DB01177,Idarubicin
DB01178,Chlormezanone
DB01179,Podofilox
DB01180,Rescinnamine
DB01181,Ifosfamide
DB01182,Propafenone
DB01183,Naloxone
DB01184,Domperidone
DB01185,Fluoxymesterone
DB01186,Pergolide
DB01187,Iophendylate
DB01188,Ciclopirox
DB01189,Desflurane
DB01190,Clindamycin
DB01191,Dexfenfluramine
DB01192,Oxymorphone
DB01193,Acebutolol
DB01194,Brinzolamide
DB01195,Flecainide
DB01196,Estramustine
DB01197,Captopril
DB01198,Zopiclone
DB01199,Tubocurarine
DB01200,Bromocriptine
DB01201,Rifapentine
DB01202,Levetiracetam
DB01203,Nadolol
DB01204,Mitoxantrone
DB01205,Flumazenil
DB01206,Lomustine
DB01207,Ridogrel
DB01208,Sparfloxacin
DB01209,Dezocine
DB01210,Levobunolol
DB01211,Clarithromycin
DB01212,Ceftriaxone
DB01213,Fomepizole
DB01214,Metipranolol
DB01215,Estazolam
DB01216,Finasteride
DB01217,Anastrozole
DB01218,Halofantrine
DB01219,Dantrolene
DB01220,Rifaximin
DB01221,Ketamine
DB01222,Budesonide
DB01223,Aminophylline
DB01224,Quetiapine
DB01226,Mivacurium
DB01227,Levomethadyl Acetate
DB01228,Encainide
DB01229,Paclitaxel
DB01231,Diphenidol
DB01232,Saquinavir
DB01233,Metoclopramide
DB01234,Dexamethasone
DB01235,Levodopa
DB01236,Sevoflurane
DB01237,Bromodiphenhydramine
DB01238,Aripiprazole
DB01239,Chlorprothixene
DB01240,Epoprostenol
DB01241,Gemfibrozil
DB01242,Clomipramine
DB01243,Chloroxine
DB01244,Bepridil
DB01245,Decamethonium
DB01246,Alimemazine
DB01247,Isocarboxazid
DB01248,Docetaxel
DB01249,Iodixanol
DB01250,Olsalazine
DB01251,Gliquidone
DB01252,Mitiglinide
DB01253,Ergonovine
DB01254,Dasatinib
DB01255,Lisdexamfetamine
DB01256,Retapamulin
DB01259,Lapatinib
DB01260,Desonide
DB01261,Sitagliptin
DB01262,Decitabine
DB01263,Posaconazole
DB01264,Darunavir
DB01265,Telbivudine
DB01267,Paliperidone
DB01268,Sunitinib
DB01273,Varenicline
DB01274,Arformoterol
DB01275,Hydralazine
DB01280,Nelarabine
DB01282,Carbetocin
DB01283,Lumiracoxib
DB01288,Fenoterol
DB01289,Glisoxepide
DB01291,Pirbuterol
DB01295,Bevantolol
DB01296,Glucosamine
DB01297,Practolol
DB01298,Sulfacytine
DB01299,Sulfadoxine
DB01301,Rolitetracycline
DB01303,Oxtriphylline
DB01319,Fosamprenavir
DB01320,Fosphenytoin
DB01321,Josamycin
DB01324,Polythiazide
DB01325,Quinethazone
DB01326,Cefamandole
DB01327,Cefazolin
DB01328,Cefonicid
DB01329,Cefoperazone
DB01330,Cefotetan
DB01331,Cefoxitin
DB01332,Ceftizoxime
DB01333,Cefradine
DB01336,Metocurine
DB01337,Pancuronium
DB01338,Pipecuronium
DB01339,Vecuronium
DB01340,Cilazapril
DB01346,Quinidine barbiturate
DB01348,Spirapril
DB01349,Tasosartan
DB01351,Amobarbital
DB01352,Aprobarbital
DB01353,Butethal
DB01354,Heptabarbital
